index,title,filename,notebook,category,eda_stage,category_copy,final_copy,stage_copy
1,Chất lượng cầu suy giảm mạnh sau năm 2019 dù lưu lượng truy cập tiếp tục tăng,01_demand_quality_break.png,01_problem_overview.ipynb,problem_overview,descriptive,/home/lducc/code/datathon/figures/problem_overview/01_demand_quality_break.png,/home/lducc/code/datathon/figures/final_figures/01_demand_quality_break.png,/home/lducc/code/datathon/figures/final_figures/descriptive/01_demand_quality_break.png
2,Margin theo category khi có và không có promo,02_margin_by_category.png,02_promotion_and_demand.ipynb,promotion_and_demand,diagnostic,/home/lducc/code/datathon/figures/promotion_and_demand/02_margin_by_category.png,/home/lducc/code/datathon/figures/final_figures/02_margin_by_category.png,/home/lducc/code/datathon/figures/final_figures/diagnostic/02_margin_by_category.png
3,Average order value trước và sau promo theo category,03_aov_before_after_promo.png,02_promotion_and_demand.ipynb,promotion_and_demand,diagnostic,/home/lducc/code/datathon/figures/promotion_and_demand/03_aov_before_after_promo.png,/home/lducc/code/datathon/figures/final_figures/03_aov_before_after_promo.png,/home/lducc/code/datathon/figures/final_figures/diagnostic/03_aov_before_after_promo.png
4,Tỷ trọng traffic và tỷ trọng đơn hàng theo kênh,04_channel_share_efficiency.png,02_promotion_and_demand.ipynb,promotion_and_demand,diagnostic,/home/lducc/code/datathon/figures/promotion_and_demand/04_channel_share_efficiency.png,/home/lducc/code/datathon/figures/final_figures/04_channel_share_efficiency.png,/home/lducc/code/datathon/figures/final_figures/diagnostic/04_channel_share_efficiency.png
5,Conversion theo kênh trước và sau 2019,05_channel_conversion_before_after_2019.png,02_promotion_and_demand.ipynb,promotion_and_demand,diagnostic,/home/lducc/code/datathon/figures/promotion_and_demand/05_channel_conversion_before_after_2019.png,/home/lducc/code/datathon/figures/final_figures/05_channel_conversion_before_after_2019.png,/home/lducc/code/datathon/figures/final_figures/diagnostic/05_channel_conversion_before_after_2019.png
6,"Promo đang đi cùng mùa, nhưng không tạo incremental GP",04_promo_no_incremental_gp.png,02_promotion_and_demand.ipynb,promotion_and_demand,diagnostic,/home/lducc/code/datathon/figures/promotion_and_demand/04_promo_no_incremental_gp.png,/home/lducc/code/datathon/figures/final_figures/04_promo_no_incremental_gp.png,/home/lducc/code/datathon/figures/final_figures/diagnostic/04_promo_no_incremental_gp.png
7,Nguyên nhân chính của cú rơi 2019: inventory stress tăng lên từ 2018 H2 và kéo conversion đi xuống,05_root_cause_2019_inventory_stress.png,03_inventory_and_operations.ipynb,inventory_and_operations,diagnostic,/home/lducc/code/datathon/figures/inventory_and_operations/05_root_cause_2019_inventory_stress.png,/home/lducc/code/datathon/figures/final_figures/05_root_cause_2019_inventory_stress.png,/home/lducc/code/datathon/figures/final_figures/diagnostic/05_root_cause_2019_inventory_stress.png
8,Khủng hoảng tồn kho có tính cấu trúc: các segment lớn nhất đang vừa overstock vừa stockout,06_inventory_stress_matrix.png,03_inventory_and_operations.ipynb,inventory_and_operations,diagnostic,/home/lducc/code/datathon/figures/inventory_and_operations/06_inventory_stress_matrix.png,/home/lducc/code/datathon/figures/final_figures/06_inventory_stress_matrix.png,/home/lducc/code/datathon/figures/final_figures/diagnostic/06_inventory_stress_matrix.png
9,"Timeline 2018-2020: dip 2019 là hệ quả của inventory health xấu đi, không phải giao hàng chậm",08_timeline_2018_2020_inventory_vs_logistics.png,03_inventory_and_operations.ipynb,inventory_and_operations,diagnostic,/home/lducc/code/datathon/figures/inventory_and_operations/08_timeline_2018_2020_inventory_vs_logistics.png,/home/lducc/code/datathon/figures/final_figures/08_timeline_2018_2020_inventory_vs_logistics.png,/home/lducc/code/datathon/figures/final_figures/diagnostic/08_timeline_2018_2020_inventory_vs_logistics.png
10,Giá trị refund theo lý do trả hàng,11_refund_amount_by_reason.png,04_customer_and_returns.ipynb,customer_and_returns,diagnostic,/home/lducc/code/datathon/figures/customer_and_returns/11_refund_amount_by_reason.png,/home/lducc/code/datathon/figures/final_figures/11_refund_amount_by_reason.png,/home/lducc/code/datathon/figures/final_figures/diagnostic/11_refund_amount_by_reason.png
